0.0000000,23.3386111,0.0347667,-48.5620000,0.0771881,23.3055000,23.3055000,23.3651000,23.3651000,23.3651000,23.3651000,23.3651000,23.3353000,23.2757000
10.0020000,23.0803444,0.0157060,-48.8013333,0.1007174,23.0671000,23.0969000,23.0671000,23.0671000,23.0969000,23.0969000,23.0969000,23.0671000,23.0671000
20.0030000,22.7558556,0.0157060,-48.6880000,0.0278209,22.7393000,22.7691000,22.7691000,22.7691000,22.7691000,22.7691000,22.7393000,22.7393000,22.7393000
30.0050000,22.9942556,0.0216492,-48.4586667,0.1365284,22.9777000,22.9777000,22.9777000,22.9777000,22.9777000,23.0075000,23.0075000,23.0373000,23.0075000
40.0060000,22.7161222,0.0511350,-48.6546667,0.0381182,22.7691000,22.7691000,22.7393000,22.7095000,22.7393000,22.7393000,22.7095000,22.6499000,22.6201000
50.0080000,22.6631444,0.0684608,-48.7800000,0.0688041,22.5903000,22.5605000,22.5903000,22.6499000,22.7095000,22.7393000,22.7393000,22.7095000,22.6797000
60.0100000,22.9147889,0.0314120,-48.6506667,0.1608882,22.9479000,22.9479000,22.9479000,22.9479000,22.8883000,22.8883000,22.8883000,22.8883000,22.8883000
70.0110000,22.9479000,0.0333174,-48.3840000,0.0421070,23.0075000,22.9777000,22.9479000,22.9479000,22.9181000,22.9479000,22.9479000,22.9479000,22.8883000
80.0130000,22.8055222,0.0289604,-48.8706667,0.0790000,22.7691000,22.7691000,22.7989000,22.8287000,22.8287000,22.8287000,22.8287000,22.8287000,22.7691000
90.0140000,23.0505444,0.0397333,-49.5553333,0.1033925,23.0969000,23.0969000,23.0373000,23.0075000,23.0075000,23.0075000,23.0373000,23.0671000,23.0969000
100.0160000,23.2028556,0.0216492,-49.4906667,0.0478226,23.2459000,23.2161000,23.1863000,23.1863000,23.1863000,23.1863000,23.1863000,23.2161000,23.2161000
110.0180000,23.2591444,0.0157060,-49.3553333,0.0914604,23.2459000,23.2459000,23.2459000,23.2757000,23.2757000,23.2757000,23.2757000,23.2459000,23.2459000
120.0190000,23.2525222,0.0248333,-49.6446667,0.0719653,23.2161000,23.2459000,23.2757000,23.2757000,23.2459000,23.2161000,23.2459000,23.2757000,23.2757000
130.0210000,23.5837333,0.0149000,-50.0980000,0.1150609,23.6036000,23.5738000,23.5738000,23.5738000,23.5738000,23.5738000,23.5738000,23.6036000,23.6036000
140.0220000,23.4644333,0.0333174,-50.4926667,0.0641405,23.5141000,23.5141000,23.4843000,23.4545000,23.4545000,23.4545000,23.4545000,23.4247000,23.4247000
150.0240000,23.5108222,0.0585964,-50.4413333,0.0755645,23.5141000,23.5141000,23.5141000,23.4545000,23.4247000,23.4545000,23.5440000,23.5738000,23.6036000
160.0260000,23.5638667,0.0258076,-50.7573333,0.0327414,23.5440000,23.5440000,23.5440000,23.5738000,23.6036000,23.6036000,23.5738000,23.5440000,23.5440000
169.9740000,23.8022667,0.0149000,-51.3626667,0.1197414,23.8122000,23.8122000,23.7824000,23.7824000,23.7824000,23.8122000,23.8122000,23.8122000,23.8122000
179.9760000,23.7459778,0.0248333,-51.1820000,0.1265701,23.7824000,23.7526000,23.7228000,23.7228000,23.7228000,23.7228000,23.7526000,23.7526000,23.7824000
189.9770000,23.0273667,0.1246623,-49.0980000,0.0570789,23.2161000,23.1863000,23.1267000,23.0373000,23.0075000,22.9777000,22.9181000,22.8883000,22.8883000
199.9790000,22.9445889,0.0347667,-49.5146667,0.1080046,22.9777000,22.9777000,22.9777000,22.9777000,22.9479000,22.9181000,22.9181000,22.9181000,22.8883000
209.9800000,22.8154556,0.0302111,-49.5146667,0.1625854,22.8585000,22.8585000,22.8287000,22.8287000,22.7989000,22.7989000,22.7691000,22.7989000,22.7989000
219.9820000,22.8386333,0.0298000,-49.4820000,0.1424921,22.8287000,22.8287000,22.8585000,22.8585000,22.8585000,22.8585000,22.8585000,22.8287000,22.7691000
229.9840000,22.8750556,0.1054759,-49.2213333,0.1343354,22.7393000,22.7393000,22.7691000,22.8585000,22.8883000,22.9181000,22.9777000,22.9777000,23.0075000
239.9850000,22.7790333,0.0298000,-48.8493333,0.0886454,22.7691000,22.7691000,22.7989000,22.7989000,22.8287000,22.7989000,22.7691000,22.7393000,22.7393000
249.9870000,22.3055444,0.0157060,-48.6686667,0.0786384,22.3221000,22.2923000,22.3221000,22.3221000,22.2923000,22.2923000,22.2923000,22.2923000,22.3221000
259.9880000,22.4148111,0.0179076,-48.9573333,0.0980459,22.4115000,22.4413000,22.4115000,22.3817000,22.4115000,22.4115000,22.4413000,22.4115000,22.4115000
269.9900000,22.7061889,0.0457904,-49.4086667,0.0928924,22.6797000,22.7095000,22.7095000,22.6499000,22.6499000,22.6797000,22.7393000,22.7691000,22.7691000
279.9920000,22.5936111,0.0347667,-49.1273333,0.0479479,22.6201000,22.6201000,22.6201000,22.6201000,22.6201000,22.5903000,22.5605000,22.5307000,22.5605000
289.9930000,22.8220778,0.0325686,-49.0760000,0.1020882,22.7691000,22.7691000,22.8287000,22.8287000,22.8287000,22.8287000,22.8287000,22.8585000,22.8585000
299.9950000,22.7989000,0.0258076,-49.5613333,0.1202913,22.7989000,22.8287000,22.8287000,22.8287000,22.7989000,22.7691000,22.7691000,22.7691000,22.7989000
309.9960000,22.8684333,0.0333174,-49.6613333,0.0701285,22.9181000,22.8883000,22.8883000,22.8883000,22.8883000,22.8585000,22.8287000,22.8287000,22.8287000
