0.0000000,18.2033400,0.0800786,-35.5545000,0.1974766,18.2093000,18.2689000,18.2987000,18.3285000,18.3285000,18.2689000,18.1795000,18.0901000,18.1199000,18.1795000,18.2391000,18.2987000,18.2689000,18.2093000,18.1795000,18.1497000,18.1199000,18.1199000,18.1199000,18.0901000
5.0010000,18.3836500,0.0352605,-35.2332000,0.1721400,18.3583000,18.3881000,18.4478000,18.4478000,18.4180000,18.3583000,18.3583000,18.3583000,18.3881000,18.3881000,18.4478000,18.3881000,18.3881000,18.3583000,18.3583000,18.3881000,18.3881000,18.3881000,18.3285000,18.3285000
10.0020000,18.4939900,0.0327515,-35.1999000,0.1026809,18.5074000,18.4776000,18.4776000,18.4776000,18.4776000,18.5074000,18.5372000,18.5372000,18.5074000,18.4776000,18.4478000,18.4180000,18.4478000,18.4776000,18.5074000,18.5372000,18.5372000,18.5074000,18.5074000,18.5074000
15.0020000,18.5103800,0.0603017,-35.3436000,0.2963423,18.5968000,18.5670000,18.5372000,18.5372000,18.5074000,18.4776000,18.4776000,18.4776000,18.4776000,18.4478000,18.4478000,18.4776000,18.4776000,18.4776000,18.4776000,18.4478000,18.4776000,18.5372000,18.6266000,18.6564000
20.0030000,18.3508800,0.0742269,-36.0027000,0.2110528,18.2987000,18.2987000,18.3285000,18.3881000,18.4478000,18.4478000,18.4776000,18.4478000,18.4478000,18.4180000,18.3583000,18.3285000,18.2987000,18.2391000,18.2391000,18.2689000,18.2987000,18.3285000,18.3285000,18.3285000
25.0040000,18.7562300,0.0540696,-36.2103000,0.1832287,18.6862000,18.6862000,18.7458000,18.7756000,18.7756000,18.7458000,18.7458000,18.7160000,18.6862000,18.7458000,18.8352000,18.8650000,18.7756000,18.7458000,18.6862000,18.7160000,18.7458000,18.7756000,18.8352000,18.8352000
30.0050000,18.4462800,0.0666543,-36.1461000,0.3160683,18.3881000,18.3583000,18.3285000,18.3583000,18.4478000,18.5372000,18.5670000,18.5074000,18.4478000,18.4478000,18.3881000,18.3881000,18.4180000,18.4180000,18.4478000,18.4478000,18.4776000,18.5074000,18.5372000,18.5074000
35.0060000,18.5565700,0.0769078,-36.4314000,0.2015415,18.4776000,18.5372000,18.5670000,18.5670000,18.5372000,18.5074000,18.4776000,18.4478000,18.4478000,18.4478000,18.5074000,18.5372000,18.5968000,18.5968000,18.6266000,18.6266000,18.6862000,18.6862000,18.6564000,18.5968000
40.0060000,18.5804100,0.0426671,-36.5427000,0.1287810,18.5372000,18.5670000,18.5968000,18.5968000,18.5968000,18.5968000,18.5968000,18.5968000,18.5670000,18.5074000,18.5074000,18.5372000,18.5968000,18.6564000,18.6564000,18.6266000,18.5968000,18.5372000,18.5372000,18.5968000
45.0070000,18.6593800,0.0546072,-36.8952000,0.2741098,18.5670000,18.5372000,18.5968000,18.6564000,18.7160000,18.7160000,18.6862000,18.6564000,18.5968000,18.6266000,18.6564000,18.7160000,18.7458000,18.7160000,18.6862000,18.6862000,18.6862000,18.6564000,18.6564000,18.6266000
50.0080000,18.6042500,0.0333174,-36.6195000,0.1695143,18.5968000,18.6266000,18.6266000,18.5968000,18.6266000,18.6564000,18.6564000,18.6266000,18.6266000,18.5968000,18.5968000,18.6266000,18.6266000,18.5670000,18.5372000,18.5372000,18.5968000,18.5968000,18.5968000,18.5670000
55.0090000,18.6742800,0.0987881,-37.0800000,0.2012885,18.6862000,18.6564000,18.6564000,18.6564000,18.6564000,18.7160000,18.7458000,18.8054000,18.8650000,18.8352000,18.7756000,18.7458000,18.6862000,18.6266000,18.5968000,18.5372000,18.5372000,18.5372000,18.5670000,18.5968000
60.0100000,19.0199600,0.0592855,-37.2135000,0.2402042,18.9544000,19.0438000,19.0438000,19.0438000,19.0438000,19.0438000,19.0438000,19.0438000,19.0140000,19.0140000,19.0438000,19.0736000,19.1034000,19.1034000,19.0736000,19.0140000,18.9544000,18.8948000,18.9246000,18.9246000
65.0100000,18.7130200,0.0431302,-36.7569000,0.2036121,18.7160000,18.6862000,18.6266000,18.6266000,18.6862000,18.7458000,18.7458000,18.7458000,18.7458000,18.7458000,18.7160000,18.7458000,18.7458000,18.7458000,18.7458000,18.7458000,18.6564000,18.6564000,18.6862000,18.7458000
70.0110000,19.0840300,0.0882291,-36.2463000,0.2979306,18.9842000,18.9842000,18.9842000,18.9544000,18.9544000,18.9842000,19.0438000,19.1332000,19.1928000,19.2226000,19.1928000,19.1630000,19.1034000,19.1034000,19.1034000,19.0736000,19.0438000,19.1034000,19.1630000,19.1928000
75.0120000,18.7413300,0.0605916,-36.7071000,0.4137380,18.7756000,18.7458000,18.7160000,18.6862000,18.6564000,18.7160000,18.7458000,18.7756000,18.8054000,18.8352000,18.8054000,18.8054000,18.7756000,18.7458000,18.6862000,18.6564000,18.6564000,18.6564000,18.7458000,18.8352000
80.0130000,18.7696400,0.0823802,-36.9333000,0.2184985,18.7756000,18.8054000,18.8054000,18.7756000,18.7160000,18.6862000,18.6564000,18.6266000,18.6564000,18.6862000,18.7458000,18.8054000,18.8948000,18.8948000,18.8948000,18.8650000,18.8352000,18.7756000,18.7458000,18.7458000
85.0140000,18.9514200,0.0975981,-36.6636000,0.1813883,18.9246000,18.9246000,18.9544000,19.0140000,19.0140000,18.9842000,18.9544000,19.0140000,19.0438000,19.0736000,19.1034000,19.0736000,19.0140000,18.9544000,18.8948000,18.8650000,18.8054000,18.7756000,18.7756000,18.8650000
